age,gender,shower,out_freq,active_time,hiki_period,sleep_hours,meal_count,isolation
20,0,3,3,1,3,5,2,0.21924709912756773
24,1,7,1,3,8,6,3,0.686589351812313
33,1,7,4,1,35,7,3,0.1039700280549616
23,1,7,3,2,7,6,2,0.2222124296375601
32,0,7,3,3,231,6,2,0.7066155617826472
22,1,7,4,2,2,6,3,0.0469161421399008
28,1,7,2,3,77,5,3,0.2916219333340934
36,0,7,3,2,1,7,2,0.08043270865844954
20,0,7,2,2,9,5,3,0.21310624157706284
19,1,7,3,2,87,9,2,0.33656839388704435
23,1,3,4,1,106,7,1,0.6989313260555179
32,0,7,1,2,2,7,2,0.3942931793968014
25,1,7,1,3,8,10,3,0.686589351812313
27,0,7,2,3,6,9,2,0.2123702534417876
20,0,7,1,3,24,6,2,0.763712844466626
19,1,3,4,3,13,10,1,0.7336057356178247
38,0,7,4,2,2,6,3,0.0469161421399008
23,0,3,1,3,49,5,4,0.9497768130202219
26,1,7,2,1,4,8,2,0.11348047509190055
30,1,7,3,3,198,8,3,0.620125505579452
32,0,7,3,2,0,8,2,0.08677289082782383
38,1,3,1,2,0,12,2,0.647703282797043
19,1,7,4,3,2,5,3,0.06961888680922525
24,0,7,4,2,5,5,3,0.0666218676473796
33,0,0,3,2,0,5,1,0.254028239378177
32,0,7,0,2,54,7,3,0.833687631116253
31,1,7,4,3,11,6,2,0.2650325116032955
31,1,3,1,3,68,2,2,0.9535951947046009
29,1,3,4,0,43,4,1,0.9593261950331914
28,1,7,2,2,2,7,2,0.10899547604453799
29,0,1,0,3,11,5,2,0.9254289815976484
37,0,7,3,2,3,5,3,0.06050523749379667
29,1,7,0,0,46,6,3,0.9569451803068371
25,0,7,1,2,36,5,2,0.8149811489642007
23,0,7,1,2,32,4,1,0.8518353599797815
37,1,7,1,3,194,4,2,0.9607709898690453
37,0,7,4,3,59,8,3,0.3361386014765922
30,1,3,1,0,135,2,3,0.9924004439992934
33,1,7,1,0,11,9,2,0.9320757521716394
29,0,7,4,3,24,7,3,0.19640828735719237
26,0,1,4,0,50,9,2,0.8203589505719266
23,0,7,4,2,2,5,3,0.0469161421399008
